,Date,Team1Players,Team2Players,DreamTeamPlayers
63,2022-04-03,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","R Uthappa,R Gaikwad,M Ali,A Rayudu,R Jadeja,S Dube,M Dhoni,D Bravo,D Pretorius,C Jordan,M Choudhary",
64,2022-04-02,"M Wade,S Gill,V Shankar,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,V Aaron,L Ferguson,M Shami","P Shaw,T Seifert,M Singh,R Pant,L Yadav,R Powell,A Patel,S Thakur,K Yadav,K Ahmed,M Rahman",
65,2022-04-02,"J Buttler,Y Jaiswal,D Padikkal,S Samson,S Hetmyer,R Parag,R Ashwin,N Saini,T Boult,Y Chahal,M Krishna","I Kishan,R Sharma,A Singh,T Varma,K Pollard,T David,D Sams,M Ashwin,J Bumrah,T Mills,B Thampi",
66,2022-04-01,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,R Bawa,M Khan,H Brar,O Smith,R Chahar,K Rabada,A Singh","A Rahane,V Iyer,S Iyer,S Billings,N Rana,A Russell,S Narine,T Southee,U Yadav,C Varun,S Mavi",
67,2022-03-31,"R Uthappa,R Gaikwad,M Ali,S Dube,A Rayudu,R Jadeja,M Dhoni,D Pretorius,D Bravo,T Deshpande,M Choudhary","K Rahul,Q Kock,M Pandey,E Lewis,D Hooda,A Badoni,K Pandya,P Chameera,A Tye,R Bishnoi,A Khan",
68,2022-03-30,"A Rahane,V Iyer,S Iyer,N Rana,S Narine,S Billings,S Jackson,A Russell,T Southee,U Yadav,C Varun","F Plessis,A Rawat,V Kohli,D Willey,S Rutherford,S Ahmed,K Karthik,P Silva,H Patel,M Siraj,A Deep",
69,2022-03-29,"J Buttler,Y Jaiswal,S Samson,D Padikkal,S Hetmyer,R Parag,N Coulter-Nile,R Ashwin,Y Chahal,T Boult,M Krishna","K Williamson,A Sharma,R Tripathi,N Pooran,A Markram,A Samad,R Shepherd,W Sundar,B Kumar,U Malik,T Natarajan",
70,2022-03-28,"K Rahul,Q Kock,E Lewis,M Pandey,D Hooda,A Badoni,K Pandya,P Chameera,M Khan,R Bishnoi,A Khan","S Gill,M Wade,V Shankar,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,L Ferguson,M Shami,V Aaron",
71,2022-03-27,"F Plessis,A Rawat,V Kohli,K Karthik,S Rutherford,D Willey,S Ahmed,P Silva,H Patel,M Siraj,A Deep","M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,R Bawa,M Khan,O Smith,H Brar,A Singh,S Sharma,R Chahar",
72,2022-03-27,"R Sharma,I Kishan,A Singh,T Varma,K Pollard,T David,D Sams,M Ashwin,T Mills,J Bumrah,B Thampi","P Shaw,T Seifert,M Singh,R Pant,L Yadav,R Powell,S Thakur,A Patel,K Yadav,K Ahmed,K Nagarkoti",
73,2022-03-26,"R Gaikwad,D Conway,R Uthappa,A Rayudu,R Jadeja,S Dube,M Dhoni,D Bravo,M Santner,A Milne,T Deshpande","A Rahane,V Iyer,N Rana,S Iyer,S Billings,S Jackson,A Russell,S Narine,U Yadav,S Mavi,C Varun",
74,2021-10-15,"R Gaikwad,F Plessis,R Uthappa,M Ali,A Rayudu,M Dhoni,R Jadeja,D Bravo,S Thakur,D Chahar,J Hazlewood","S Gill,V Iyer,N Rana,S Narine,E Morgan,K Karthik,S Hasan,R Tripathi,L Ferguson,S Mavi,C Varun",
75,2021-10-13,"P Shaw,S Dhawan,M Stoinis,S Iyer,R Pant,S Hetmyer,A Patel,R Ashwin,K Rabada,A Khan,A Nortje","S Gill,V Iyer,N Rana,R Tripathi,K Karthik,E Morgan,S Hasan,S Narine,L Ferguson,S Mavi,C Varun",
